,policy_area,dataset,variable,year,tract,tract_number,neighborhood,geoid,location,row_id,date,count
1208,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4062, Los Angeles County, California",406200,Covina,1400000US06037406200,"(34.0790655, -117.8944835)",Drinking_Water_Contaminants_2017_1400000US06037406200,2017-01-01T00:00:00.000,830.3153692
1209,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4063, Los Angeles County, California",406300,West Covina,1400000US06037406300,"(34.058745, -117.87651)",Drinking_Water_Contaminants_2017_1400000US06037406300,2017-01-01T00:00:00.000,807.7559606
1210,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4064.02, Los Angeles County, California",406402,West Covina,1400000US06037406402,"(34.0574215, -117.8990455)",Drinking_Water_Contaminants_2017_1400000US06037406402,2017-01-01T00:00:00.000,811.578849
1211,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4064.11, Los Angeles County, California",406411,West Covina,1400000US06037406411,"(34.0687605, -117.8988995)",Drinking_Water_Contaminants_2017_1400000US06037406411,2017-01-01T00:00:00.000,811.578849
1212,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4064.12, Los Angeles County, California",406412,West Covina,1400000US06037406412,"(34.0649545, -117.898946)",Drinking_Water_Contaminants_2017_1400000US06037406412,2017-01-01T00:00:00.000,810.5426594
1213,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4065, Los Angeles County, California",406500,West Covina,1400000US06037406500,"(34.0666225, -117.919599)",Drinking_Water_Contaminants_2017_1400000US06037406500,2017-01-01T00:00:00.000,811.578849
1214,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4066.01, Los Angeles County, California",406601,West Covina,1400000US06037406601,"(34.0557305, -117.916683)",Drinking_Water_Contaminants_2017_1400000US06037406601,2017-01-01T00:00:00.000,811.578849
1215,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4066.02, Los Angeles County, California",406602,West Covina,1400000US06037406602,"(34.0548195, -117.934636)",Drinking_Water_Contaminants_2017_1400000US06037406602,2017-01-01T00:00:00.000,811.578849
1216,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4067.01, Los Angeles County, California",406701,West Covina,1400000US06037406701,"(34.0554275, -117.9462745)",Drinking_Water_Contaminants_2017_1400000US06037406701,2017-01-01T00:00:00.000,811.578849
1217,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4067.02, Los Angeles County, California",406702,West Covina,1400000US06037406702,"(34.0638995, -117.9353755)",Drinking_Water_Contaminants_2017_1400000US06037406702,2017-01-01T00:00:00.000,811.578849
