"","week","month","year","Weather_PRCP","DLY_TRK_VMT","DLY_VMT","WKDY_TRK_CUR","CUR_AADT","ADTT_CUR","city","county"
"139",35,8,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"140",35,8,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"141",36,9,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"142",36,9,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"143",36,9,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"144",36,9,2021,NA,103.610169491525,1922.45762711864,216.864406779661,3123.47457627119,169.406779661017,"Hazleton","Luzerne"
"145",37,9,2018,NA,99.5454545454545,2019.27272727273,118.363636363636,2072.09090909091,92.3636363636364,"Hazleton","Luzerne"
"146",37,9,2019,0.0642105263157895,401.638888888889,6611.19444444444,383.861111111111,5412.25,299.916666666667,"Hazleton","Luzerne"
"147",37,9,2020,NA,53,1661.5,237.25,5071,185,"Hazleton","Luzerne"
"148",37,9,2021,NA,24566.5,60761.75,6292.5,12159,4916,"Hazleton","Luzerne"
"149",38,9,2018,NA,108.392156862745,1766.41176470588,156.039215686275,2308.07843137255,121.882352941176,"Hazleton","Luzerne"
"150",38,9,2019,0.00403225806451613,262.315789473684,5151,437.526315789474,7404.68421052632,341.894736842105,"Hazleton","Luzerne"
"151",38,9,2020,NA,175,4124,379,6978,296,"Hazleton","Luzerne"
"152",38,9,2021,NA,15,487,5,127,4,"Hazleton","Luzerne"
"153",39,9,2018,0.351578947368421,71.3461538461538,747.711538461538,196.692307692308,1961.92307692308,153.692307692308,"Hazleton","Luzerne"
"154",39,9,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"155",39,9,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"156",39,9,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"157",40,9,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"158",40,10,2018,NA,99.6041666666667,2263.41666666667,207.458333333333,3689.47916666667,162.104166666667,"Hazleton","Luzerne"
"159",40,10,2019,NA,6,296,15,580,12,"Hazleton","Luzerne"
"160",40,10,2021,NA,308.916666666667,7313.58333333333,371.75,8545.25,290.333333333333,"Hazleton","Luzerne"
"161",41,10,2018,NA,152.045454545455,3958.90909090909,284.090909090909,5955.40909090909,221.954545454545,"Hazleton","Luzerne"
"162",41,10,2019,NA,251.3125,4709.6875,449.125,6885.6875,350.8125,"Hazleton","Luzerne"
"163",41,10,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"164",41,10,2021,NA,425.5,8369,121.25,1825,94.75,"Hazleton","Luzerne"
"165",42,10,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"166",42,10,2019,NA,981.6,18421.7333333333,940.933333333333,14221,735,"Hazleton","Luzerne"
"167",42,10,2020,NA,34,792,367,6601,287,"Hazleton","Luzerne"
"168",42,10,2021,NA,8.4,140.6,86.8,1100.4,68,"Hazleton","Luzerne"
"169",43,10,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"170",43,10,2019,NA,166.375,4303.5625,370.8125,8253.75,289.5625,"Hazleton","Luzerne"
"171",43,10,2020,NA,340.666666666667,7612.33333333333,1034.33333333333,16865.6666666667,808.333333333333,"Hazleton","Luzerne"
"172",43,10,2021,NA,5610.88888888889,30679,3028.66666666667,14430.7777777778,2366.11111111111,"Hazleton","Luzerne"
"173",44,10,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"174",44,10,2019,NA,337.777777777778,6041.88888888889,879.222222222222,9270,687.111111111111,"Hazleton","Luzerne"
"175",44,10,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"176",44,10,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"177",45,11,2018,NA,102,4609.25,201.75,7637,157.75,"Hazleton","Luzerne"
"178",45,11,2019,NA,523.166666666667,9302.66666666667,1559,21665,1218,"Hazleton","Luzerne"
"179",45,11,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"180",45,11,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"181",46,11,2018,0.364583333333333,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"182",46,11,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"183",46,11,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"184",46,11,2021,NA,581.6,9858.4,462.2,5523.2,361,"Hazleton","Luzerne"
"185",47,11,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"186",47,11,2019,NA,83,1180,656.5,7257,513,"Hazleton","Luzerne"
"187",47,11,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"188",47,11,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"189",48,11,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"190",48,11,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"191",48,11,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"192",48,11,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"193",49,12,2018,0.0195238095238095,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"194",49,12,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"195",49,12,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"196",49,12,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"197",50,12,2018,0.114146341463415,3,31.5,38,295.5,30,"Hazleton","Luzerne"
"198",50,12,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"199",50,12,2020,NA,86,8655,114,8923,89,"Hazleton","Luzerne"
"200",50,12,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"201",51,12,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"202",51,12,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"203",51,12,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"204",51,12,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"205",52,12,2018,0.08625,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"206",52,12,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"207",52,12,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"208",52,12,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"209",53,12,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"210",53,12,2019,0.153333333333333,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"211",53,12,2020,0.032,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"212",53,12,2021,0.0633333333333333,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
