X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,sidewalk,aadp,co_name,mun_name,id
-74.759353,40.2130530000001,111309,jh,,2014/05/13 00:00:00+00,2014,3402174000,206,s broad st,,cr 606 hamilton ave,ferry st,Pedestrian,40.213053,-74.759353,0.962,1.0622,east,west,W,419,Mercer,Trenton City,76804
-74.764329,40.2205880000001,111312,jh,,2014/07/23 00:00:00+00,2014,3402174000,206,n broad st,,e state st,e hanover st,Pedestrian,40.220588,-74.764329,0.9,1.0622,north,south,W,978,Mercer,Trenton City,76806
-74.765729,40.2207090000001,111314,jh,,2014/05/06 00:00:00+00,2014,3402174000,206,n warren st,,w state st,e hanover st,Pedestrian,40.220709,-74.765729,0.962,1.0622,south,north,E,663,Mercer,Trenton City,76808
-74.765257,40.22031,111318,jh,,2014/05/06 00:00:00+00,2014,3402174000,,e state st,,us 206s n warren st,us 206n n broad st,Pedestrian,40.22031,-74.765257,0.962,1.0622,east,west,N,2442,Mercer,Trenton City,76809
-74.7590069999999,40.220742,111322,jh,,2014/05/13 00:00:00+00,2014,3402174000,,e state st,,n stockton st,w canal st / armory dr,Pedestrian,40.220742,-74.759007,0.962,1.0622,west,east,N,860,Mercer,Trenton City,76811
-74.7453169999999,40.2203940000001,111326,jh,,2014/05/13 00:00:00+00,2014,3402174000,626,chambers st,,euclid ave,nj 33 greenwood ave,Pedestrian,40.220394,-74.745317,0.962,1.0622,west,east,N,832,Mercer,Trenton City,76813
-74.745494,40.220353,111327,jh,,2014/05/28 00:00:00+00,2014,3402174000,626,chambers st,,euclid ave,nj 33 greenwood ave,Pedestrian,40.220353,-74.745494,0.93,1.0622,west,east,S,835,Mercer,Trenton City,76814
-75.2216218299999,40.0322516700001,149174,bn,,2019/06/29 00:00:00+00,2019,4210160108,,manayunk ave,both,dupont st,krams ave,Pedestrian,40.03225167,-75.22162183,,,S,N,west,48,Philadelphia,Lower Northwest,76861
-74.97308035,40.0999976200001,149175,bn,,2019/06/29 00:00:00+00,2019,4210160116,,medford rd,both,belgreen rd,chilton rd,Pedestrian,40.09999762,-74.97308035,,,E,W,north,50,Philadelphia,Lower Far Northeast,76866
-74.97309927,40.0998437800001,149176,bn,,2019/06/29 00:00:00+00,2019,4210160116,,medford rd,both,belgreen rd,chilton rd,Pedestrian,40.09984378,-74.97309927,,,W,E,south,90,Philadelphia,Lower Far Northeast,76877
-75.2414858499999,39.91325119,149177,bn,,2019/07/12 00:00:00+00,2019,4210160102,,passyunk ave,east,elmwood ave,73rd st,Pedestrian,39.91325119,-75.24148585,,,N,S,south,276,Philadelphia,Lower Southwest,76878
-75.24192654,39.9134131800001,149178,bn,,2019/07/12 00:00:00+00,2019,4210160102,,passyunk ave,west,elmwood ave,73rd st,Pedestrian,39.91341318,-75.24192654,,,E,W,north,163,Philadelphia,Lower Southwest,76886
-75.1756452499999,39.9314592900001,149179,bn,,2019/07/19 00:00:00+00,2019,4210160112,,tasker st,west,dorrance st,s cleveland st,Pedestrian,39.93145929,-75.17564525,,,E,W,north,373,Philadelphia,South,76887
-75.1756600699999,39.93138121,149180,bn,,2019/07/19 00:00:00+00,2019,4210160112,,tasker st,west,dorrance st,s cleveland st,Pedestrian,39.93138121,-75.17566007,,,W,E,south,380,Philadelphia,South,76888
-75.20587564,39.9545855900001,149181,bn,,2019/07/10 00:00:00+00,2019,4210160110,,walnut st,west,42nd st,41st st,Pedestrian,39.95458559,-75.20587564,,,E,W,north,672,Philadelphia,University - Southwest,76896
-75.20579471,39.9544381200001,149182,bn,,2019/07/10 00:00:00+00,2019,4210160110,,walnut st,west,42nd st,41st st,Pedestrian,39.95443812,-75.20579471,,,W,E,south,1164,Philadelphia,University - Southwest,76897
-75.2251347599999,39.9321260300001,149183,bn,,2019/07/12 00:00:00+00,2019,4210160102,,woodland ave,both,yocum st,58th st,Pedestrian,39.93212603,-75.22513476,,,W,E,north,3689,Philadelphia,Lower Southwest,76902
-75.1639079999999,39.9628910000001,84254,bb,,2012/01/31 00:00:00+00,2012,4210160103,,spring garden st,,16th st,15th st,Pedestrian,39.962891,-75.163908,1.106,1.0622,east,west,north,3623,Philadelphia,Central,77079
-75.22508393,39.9319865900001,149184,bn,,2019/07/12 00:00:00+00,2019,4210160102,,woodland ave,both,yocum st,58th st,Pedestrian,39.93198659,-75.22508393,,,E,W,south,338,Philadelphia,Lower Southwest,77090
-75.1589509999999,39.951847,113371,jh,,2014/09/20 00:00:00+00,2014,4210160103,,market st,,12th st,11th st,Pedestrian,39.951847,-75.158951,0.949,1.0622,west,east,north,8478,Philadelphia,Central,78013
-75.1588819999999,39.95174,113372,jh,,2014/09/20 00:00:00+00,2014,4210160103,,market st,,12th st,11th st,Pedestrian,39.95174,-75.158882,0.949,1.0622,west,east,south,5241,Philadelphia,Central,78018
-75.1284649999999,39.9431730000001,112524,jh,,2014/09/10 00:00:00+00,2014,3400710000,,martin luther king jr blvd,both,riverside dr,front st,Pedestrian,39.943173,-75.128465,0.949,1.0622,east,west,N,67,Camden,Camden City,78249
-75.128524,39.9429670000001,112525,jh,,2014/09/10 00:00:00+00,2014,3400710000,,martin luther king jr blvd,both,riverside dr,front st,Pedestrian,39.942967,-75.128524,0.949,1.0622,east,west,S,121,Camden,Camden City,78250
-75.121679,39.942398,112529,jh,,2014/11/04 00:00:00+00,2014,3400710000,,martin luther king jr blvd,both,4th st,west st / 5th st,Pedestrian,39.942398,-75.121679,1.001,1.0622,west,east,S,361,Camden,Camden City,78252
-75.098306,39.9794440000001,114863,permanent station,,2014/10/24 00:00:00+00,2014,4210160109,,port richmond trail,,bath st,delaware ave,Pedestrian,39.979444,-75.098306,0.968,1.0622,east,west,,53,Philadelphia,River Wards,78706
